x_true_pose[mm],y_true_pose[mm],theta_true[rad],x_pose[mm],y_pose[mm],theta[rad],p_err[mm],a_err[mm]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003814697265625,0.003516674041748047,5.566638576826044e-05,0.0,0.0,0.0,0.005188343815156374,0.0031894489652684343
0.010728836059570312,0.011742115020751953,-1.2173072171606236e-05,0.0,0.0,0.0,0.015905508113660025,0.0006974656591411891
-0.0029802322387695312,0.009834766387939453,4.37845579919216e-05,0.0,0.0,0.0,0.01027640083406369,0.0025086703807829067
-0.0008344650268554688,0.015020370483398438,4.411783667501723e-06,0.0,0.0,0.0,0.015043532209544137,0.0002527765842725964
-0.010967254638671875,0.00286102294921875,-1.4683286207795021e-05,0.0,0.0,0.0,0.011334289859776223,0.0008412903290893062
-0.0034570693969726562,0.003904104232788086,-9.683670330939975e-06,0.0,0.0,0.0,0.005214725177414312,0.0005548334401589138
-0.001430511474609375,0.0028908252716064453,5.674718222326014e-05,0.0,0.0,0.0,0.0032254044443988054,0.0032513740406526176
-0.0029802322387695312,-0.00038743019104003906,4.219688873052796e-05,0.0,0.0,0.0,0.0030053096928487374,0.002417703632842398
-0.0029802322387695312,-0.0012218952178955078,-2.7354038611981935e-05,0.0,0.0,0.0,0.003220995516997371,0.0015672709651044572
-0.0036954879760742188,-0.006407499313354492,7.972504780240364e-05,0.0,0.0,0.0,0.007396801932723859,0.0045679087605564675
-0.0057220458984375,-5.9604644775390625e-05,-1.5755641599835002e-05,0.0,0.0,0.0,0.005722356330874915,0.0009027317671912939
0.0,-0.0014901161193847656,-1.8292311489753743e-05,0.0,0.0,0.0,0.0014901161193847656,0.0010480722459015527
-0.009179115295410156,0.008463859558105469,4.0388934231083695e-05,0.0,0.0,0.0,0.012485714886451876,0.0023141154704725544
-0.007987022399902344,0.00622868537902832,4.180136546283464e-05,0.0,0.0,0.0,0.010128625196316772,0.002395041818904348
-0.000476837158203125,0.0008344650268554688,-2.4280877932714162e-06,-1343.7388158814942,1527.8670738668034,-2.162322294044399,2034.7009532905217,123.89180227660742
